temp,hum,pres,datetime
29.9,22.3,1019.9,2022-01-18 15:35:11.292750
30.0,23.9,1019.9,2022-01-18 15:35:22.294022
30.2,23.3,1019.9,2022-01-18 15:35:33.295579
30.5,21.5,1020.0,2022-01-18 15:35:44.296933
30.7,21.1,1020.0,2022-01-18 15:35:55.297505
30.7,22.5,1020.0,2022-01-18 15:36:06.298269
30.9,23.3,1019.9,2022-01-18 15:36:17.299653
30.9,21.0,1020.0,2022-01-18 15:36:28.300530
31.1,22.3,1020.0,2022-01-18 15:36:39.301647
31.3,22.6,1020.1,2022-01-18 15:36:50.301880
31.4,20.7,1020.1,2022-01-18 15:37:01.302151
31.4,20.0,1020.1,2022-01-18 15:37:12.302732
31.6,22.5,1020.1,2022-01-18 15:37:23.303812
31.8,20.7,1020.0,2022-01-18 15:37:34.304715
31.8,23.0,1020.1,2022-01-18 15:37:45.305422
31.8,20.5,1020.1,2022-01-18 15:37:56.307057
31.9,20.7,1020.0,2022-01-18 15:38:07.308441
32.1,21.9,1020.1,2022-01-18 15:38:18.309144
32.1,19.4,1020.0,2022-01-18 15:38:29.309862
32.1,21.4,1020.0,2022-01-18 15:38:40.311331
32.2,20.9,1020.1,2022-01-18 15:38:51.312179
32.4,19.8,1020.1,2022-01-18 15:39:02.313317
32.5,20.5,1019.7,2022-01-18 15:39:13.313825
32.6,20.9,1020.0,2022-01-18 15:39:24.314658
32.6,20.6,1020.0,2022-01-18 15:39:35.315746
32.6,21.3,1019.9,2022-01-18 15:39:46.316747
33.6,21.3,1019.9,2022-01-18 15:39:46.316747
33.6,21.3,1019.9,2022-01-18 15:39:46.316747
33.6,21.3,1019.9,2022-01-18 15:39:46.316747
33.6,21.3,1019.9,2022-01-18 15:39:46.316747
33.6,21.3,1019.9,2022-01-18 15:39:46.316747
29.2,21.3,1000.9,2022-01-18 15:39:46.316747
29.2,21.3,1000.9,2022-01-18 15:39:46.316747
29.2,21.3,1000.9,2022-01-18 15:39:46.316747
29.2,21.3,1000.9,2022-01-18 15:39:46.316747
29.2,21.3,1000.9,2022-01-18 15:39:46.316747
29.2,21.3,1000.9,2022-01-18 15:39:46.316747

